Sentence,Intent,NER
order blood test for John Smith,order_blood_test,order/O blood/O test/O for/O John/B-PATIENT Smith/I-PATIENT
schedule cataract surgery for John Smith,schedule_surgery,schedule/O cataract/B-SURGERY surgery/I-SURGERY for/O John/B-PATIENT Smith/I-PATIENT
update medication dosage for aspirin to twice a day for Linda White,update_medication,update/O medication/O dosage/O for/O aspirin/B-MEDICATION /I-MEDICATION to/O twice/B-DOSAGE a day/I-DOSAGE for/O Linda/B-PATIENT White/I-PATIENT
order x-ray for Sophia Lewis,order_xray,order/O x-ray/O for/O Sophia/B-PATIENT Lewis/I-PATIENT
add new patient Maria Garcia 48 years old with anemia,add_patient,add/O Maria/B-PATIENT Garcia/I-PATIENT/B-PATIENT 48/B-AGE years/O old/O with/O anemia/B-DISEASE /I-DISEASE/B-DISEASE
order x-ray for Oliver Harris,order_xray,order/O x-ray/O for/O Oliver/B-PATIENT Harris/I-PATIENT
discharge patient Alice Johnson,discharge_patient,discharge/O patient/O Alice/B-PATIENT Johnson/I-PATIENT
add new patient Oliver Harris 74 years old with hypertension,add_patient,add/O Oliver/B-PATIENT Harris/I-PATIENT/B-PATIENT 74/B-AGE years/O old/O with/O hypertension/B-DISEASE /I-DISEASE/B-DISEASE
order x-ray for John Smith,order_xray,order/O x-ray/O for/O John/B-PATIENT Smith/I-PATIENT
order x-ray for Emma Davis,order_xray,order/O x-ray/O for/O Emma/B-PATIENT Davis/I-PATIENT
schedule heart bypass for Sophia Lewis,schedule_surgery,schedule/O heart/B-SURGERY bypass/I-SURGERY for/O Sophia/B-PATIENT Lewis/I-PATIENT
add new patient John Smith 43 years old with depression,add_patient,add/O John/B-PATIENT Smith/I-PATIENT/B-PATIENT 43/B-AGE years/O old/O with/O depression/B-DISEASE /I-DISEASE/B-DISEASE
remove medication metformin from Sophia Lewis's treatment plan,remove_medication,remove/O medication/O metformin/B-MEDICATION /I-MEDICATION from/O Sophia/B-PATIENT Lewis/I-PATIENT 's/O treatment/O plan/O
add new patient Alice Johnson 37 years old with flu,add_patient,add/O Alice/B-PATIENT Johnson/I-PATIENT/B-PATIENT 37/B-AGE years/O old/O with/O flu/B-DISEASE /I-DISEASE/B-DISEASE
update medical history for John Smith,update_medical_history,update/O medical/O history/O for/O John/B-PATIENT Smith/I-PATIENT
schedule knee surgery for Alice Johnson,schedule_surgery,schedule/O knee/B-SURGERY surgery/I-SURGERY for/O Alice/B-PATIENT Johnson/I-PATIENT
add new patient Emma Davis 36 years old with chronic pain,add_patient,add/O Emma/B-PATIENT Davis/I-PATIENT/B-PATIENT 36/B-AGE years/O old/O with/O chronic/B-DISEASE pain/I-DISEASE/B-DISEASE
order x-ray for Alice Johnson,order_xray,order/O x-ray/O for/O Alice/B-PATIENT Johnson/I-PATIENT
consult with a dermatologist for Joe Doe,consult_specialist,consult/O with/O a/O dermatologist/B-SPECIALTY /I-SPECIALTY for/O Joe/B-PATIENT Doe/I-PATIENT
update patient contact info for Joe Doe,update_contact_info,update/O patient/O contact/O info/O for/O Joe/B-PATIENT Doe/I-PATIENT
get patient information for Maria Garcia,get_patient_info,get/O patient/O information/O for/O Maria/B-PATIENT Garcia/I-PATIENT
add new patient Maria Garcia 68 years old with depression,add_patient,add/O Maria/B-PATIENT Garcia/I-PATIENT/B-PATIENT 68/B-AGE years/O old/O with/O depression/B-DISEASE /I-DISEASE/B-DISEASE
update medical history for Sophia Lewis,update_medical_history,update/O medical/O history/O for/O Sophia/B-PATIENT Lewis/I-PATIENT
order blood test for Sophia Lewis,order_blood_test,order/O blood/O test/O for/O Sophia/B-PATIENT Lewis/I-PATIENT
discharge patient John Smith,discharge_patient,discharge/O patient/O John/B-PATIENT Smith/I-PATIENT
