tokens,ner_tags,intent
"['remove', 'medication', 'gabapentin', 'from', 'Maria', 'Garcia', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['assign', 'medication', 'ibuprofen', 'every', 'evening', 'for', 'Oliver', 'Harris']","['O', 'O', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",assign_medication
"['order', 'x-ray', 'for', 'Oliver', 'Harris']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",order_xray
"['update', 'patient', 'contact', 'info', 'for', 'James', 'Brown']","['O', 'O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_contact_info
"['add', 'allergy', 'to', 'lactose', 'for', 'Maria', 'Garcia']","['O', 'O', 'O', 'B-ALLERGY', 'O', 'B-PATIENT', 'I-PATIENT']",add_allergy
"['add', 'allergy', 'to', 'tree', 'nuts', 'for', 'Oliver', 'Harris']","['O', 'O', 'O', 'B-ALLERGY', 'I-ALLERGY', 'O', 'B-PATIENT', 'I-PATIENT']",add_allergy
"['update', 'medication', 'dosage', 'for', 'statins', 'to', 'every', '8', 'hours', 'for', 'James', 'Brown']","['O', 'O', 'O', 'O', 'B-MEDICATION', 'O', 'B-DOSAGE', 'I-DOSAGE', 'O-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",update_medication
"['check', 'lab', 'results', 'for', 'Joe', 'Doe']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['consult', 'with', 'a', 'orthopedic', 'surgeon', 'for', 'Joe', 'Doe']","['O', 'O', 'O', 'B-SPECIALTY', 'I-SPECIALTY', 'O', 'B-PATIENT', 'I-PATIENT']",consult_specialist
"['get', 'patient', 'information', 'for', 'John', 'Smith']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",get_patient_info
"['remove', 'medication', 'gabapentin', 'from', 'Linda', 'White', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['get', 'patient', 'information', 'for', 'Sophia', 'Lewis']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",get_patient_info
"['add', 'allergy', 'to', 'peanuts', 'for', 'James', 'Brown']","['O', 'O', 'O', 'B-ALLERGY', 'O', 'B-PATIENT', 'I-PATIENT']",add_allergy
"['consult', 'with', 'a', 'orthopedic', 'surgeon', 'for', 'John', 'Smith']","['O', 'O', 'O', 'B-SPECIALTY', 'I-SPECIALTY', 'O', 'B-PATIENT', 'I-PATIENT']",consult_specialist
"['order', 'x-ray', 'for', 'Maria', 'Garcia']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",order_xray
"['add', 'allergy', 'to', 'peanuts', 'for', 'Joe', 'Doe']","['O', 'O', 'O', 'B-ALLERGY', 'O', 'B-PATIENT', 'I-PATIENT']",add_allergy
"['add', 'Oliver', 'Harris/I-PATIENT', '31', 'years', 'old', 'with', 'depression/B-DISEASE']","['O', 'B-PATIENT', 'B-PATIENT', 'B-AGE', 'O', 'O', 'O', 'B-DISEASE']",add_patient
"['add', 'Joe', 'Doe/I-PATIENT', '27', 'years', 'old', 'with', 'depression/B-DISEASE']","['O', 'B-PATIENT', 'B-PATIENT', 'B-AGE', 'O', 'O', 'O', 'B-DISEASE']",add_patient
"['check', 'lab', 'results', 'for', 'James', 'Brown']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['consult', 'with', 'a', 'gastroenterologist', 'for', 'Linda', 'White']","['O', 'O', 'O', 'B-SPECIALTY', 'O', 'B-PATIENT', 'I-PATIENT']",consult_specialist
"['schedule', 'appendectomy', 'for', 'Maria', 'Garcia']","['O', 'B-SURGERY', 'O', 'B-PATIENT', 'I-PATIENT']",schedule_surgery
"['get', 'patient', 'information', 'for', 'Oliver', 'Harris']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",get_patient_info
"['update', 'patient', 'contact', 'info', 'for', 'Joe', 'Doe']","['O', 'O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_contact_info
